CustomerID,Region,TownSize,Gender,Age,EducationYears,JobCategory,UnionMember,EmploymentLength,Retired,HHIncome,DebtToIncomeRatio,CreditDebt,OtherDebt,LoanDefault,MaritalStatus,HouseholdSize,NumberPets,NumberCats,NumberDogs,NumberBirds,HomeOwner,CarsOwned,CarOwnership,CarBrand,CarValue,CommuteTime,PoliticalPartyMem,Votes,CreditCard,CardTenure,CardItemsMonthly,CardSpendMonth,ActiveLifestyle,PhoneCoTenure,VoiceLastMonth,VoiceOverTenure,EquipmentRental,EquipmentLastMonth,EquipmentOverTenure,CallingCard,WirelessData,DataLastMonth,DataOverTenure,Multiline,VM,Pager,Internet,CallerID,CallWait,CallForward,ThreeWayCalling,EBilling,TVWatchingHours,OwnsPC,OwnsMobileDevice,OwnsGameSystem,OwnsFax,NewsSubscriber
3964-QJWTRG-NPN,1,2,Female,20,15,Professional,Yes,0,No,31000.00,11.1,1.200909,2.240091,Yes,Unmarried,3,0,0,0,0,0,2,Own,Domestic,14300.00,22,Yes,Yes,Mast,2,5,816.60,No,5,19.50,34.40,Yes,29.50,126.10,Yes,No,0.00,0.00,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,13,No,Yes,Yes,No,No
0648-AIPJSP-UVM,5,5,Male,22,17,Sales,No,0,No,15000.00,18.6,1.22202,1.56798,Yes,Unmarried,2,6,0,0,0,1,2,Own,Foreign,6800.00,29,Yes,No,Visa,4,5,426.00,Yes,39,26.70,330.60,Yes,54.85,1975.00,Yes,Yes,45.65,1683.55,Yes,Yes,Yes,4,Yes,No,Yes,No,Yes,18,Yes,Yes,Yes,Yes,Yes
5195-TLUDJE-HVO,3,4,Female,67,14,Sales,No,16,No,35000.00,9.9,0.92862,2.53638,No,Married,3,3,2,1,0,1,3,Own,Foreign,18800.00,24,Yes,No,Visa,35,9,1842.20,No,65,85.20,1858.35,No,0.00,0.00,Yes,No,0.00,0.00,Yes,No,No,No,No,No,No,No,No,21,No,No,No,No,Yes
4459-VLPQUH-3OL,4,3,Male,23,16,Sales,No,0,No,20000.00,5.7,0.0228,1.1172,Yes,Married,5,0,0,0,0,1,3,Own,Foreign,8700.00,38,No,No,Visa,5,17,3409.90,Yes,36,18.00,199.45,No,0.00,0.00,Yes,No,0.00,0.00,Yes,No,No,2,No,No,No,No,Yes,26,Yes,Yes,Yes,No,Yes
8158-SMTQFB-CNO,2,2,Male,26,16,Sales,No,1,No,23000.00,1.7,0.214659,0.176341,No,Married,4,0,0,0,0,0,1,Lease,Foreign,10600.00,32,No,No,Disc,8,8,2551.00,Yes,21,9.15,74.10,No,0.00,0.00,Yes,Yes,19.05,410.80,No,Yes,No,3,Yes,Yes,Yes,Yes,No,27,Yes,No,Yes,No,No
9662-FUSYIM-1IV,4,4,Male,64,17,Service,No,22,No,107000.00,5.6,1.060584,4.931416,No,Unmarried,1,11,1,1,0,1,0,-1,-1,-1000.00,23,No,No,Visa,18,11,2282.70,No,28,24.30,264.90,Yes,35.50,970.95,Yes,No,0.00,0.00,No,No,Yes,No,Yes,Yes,Yes,Yes,No,21,No,No,No,No,No
7432-QKQFJJ-K72,2,5,Female,52,14,Professional,No,10,No,77000.00,1.9,0.501809,0.961191,No,Unmarried,1,2,0,2,0,0,2,Own,Domestic,25600.00,32,No,No,Othe,3,20,8223.20,No,15,11.40,44.80,No,0.00,0.00,No,No,0.00,0.00,No,No,No,Yes,No,No,Yes,No,No,19,Yes,Yes,No,No,No
8959-RZWRHU-ST8,3,4,Female,44,16,Professional,No,11,No,97000.00,14.4,5.950368,8.017632,No,Married,2,10,0,2,0,1,1,Own,Domestic,55500.00,31,No,Yes,AMEX,25,6,5927.00,No,46,44.55,612.70,No,0.00,0.00,Yes,No,0.00,0.00,Yes,No,No,No,Yes,Yes,Yes,Yes,No,13,No,No,No,No,Yes
9124-DZALHM-S6I,2,3,Female,66,12,Professional,No,15,Yes,16000.00,2.6,0.102336,0.313664,No,Unmarried,1,1,1,0,0,1,1,Own,Foreign,8600.00,25,Yes,Yes,Mast,26,12,3265.90,Yes,53,63.15,1074.35,No,0.00,0.00,Yes,No,0.00,0.00,Yes,No,No,No,No,No,No,No,No,25,No,No,No,No,No
3512-MUWBGY-52X,2,2,Male,47,11,Labor,No,19,No,84000.00,4.1,1.770216,1.673784,No,Unmarried,2,1,1,0,0,1,4,Own,Domestic,41000.00,29,Yes,Yes,Othe,2,11,1996.40,Yes,3,10.95,20.05,No,0.00,0.00,No,No,0.00,0.00,No,No,No,No,No,No,No,No,No,21,No,No,No,No,No
5621-QSZPSF-NF2,4,1,Female,59,19,Professional,No,8,No,47000.00,8.6,1.358112,2.683888,No,Unmarried,1,7,3,0,0,0,3,Own,Domestic,28000.00,17,No,Yes,Disc,16,11,4889.70,No,50,25.65,446.55,Yes,31.20,1568.35,Yes,No,0.00,0.00,Yes,No,No,3,No,Yes,No,No,Yes,26,Yes,Yes,No,No,No
8241-PWPONH-62O,2,4,Female,33,8,Sales,No,4,No,19000.00,0.9,0.130131,0.040869,No,Married,5,6,0,0,0,0,2,Own,Foreign,9300.00,28,No,No,Mast,6,14,3382.60,No,9,10.80,37.00,No,0.00,0.00,No,No,0.00,0.00,No,No,No,No,No,No,No,No,No,27,No,No,No,No,No
8795-FYOXCT-P09,5,2,Male,44,10,Professional,No,12,No,73000.00,2.8,1.250928,0.793072,No,Unmarried,1,1,0,1,0,1,1,Own,Foreign,38500.00,25,Yes,Yes,Disc,1,12,5343.60,No,5,20.25,29.90,No,0.00,0.00,Yes,No,0.00,0.00,No,No,No,Yes,Yes,Yes,Yes,Yes,No,21,Yes,No,No,No,No
1705-NMIQNO-IC4,3,2,Male,58,18,Professional,No,3,No,63000.00,10.5,1.924965,4.690035,No,Unmarried,1,0,0,0,0,1,0,-1,-1,-1000.00,16,No,Yes,Disc,25,10,5935.00,Yes,58,36.30,680.75,No,0.00,0.00,Yes,No,0.00,0.00,Yes,No,No,No,Yes,No,Yes,Yes,No,21,Yes,No,No,No,Yes
9205-PAZEXY-90Q,2,1,Female,72,20,Agriculture,Yes,27,Yes,17000.00,9.8,1.276156,0.389844,No,Married,2,0,0,0,0,1,1,Own,Foreign,9300.00,32,Yes,Yes,Mast,33,12,2331.70,Yes,67,41.70,954.05,Yes,38.55,2580.75,Yes,No,0.00,0.00,Yes,No,No,No,No,No,Yes,No,Yes,24,Yes,No,Yes,Yes,Yes
